id,day,start_ts,end_ts,timezone_offset,nap,score_state,total_in_bed_milli,total_awake_milli,total_light_milli,total_sws_milli,total_rem_milli,total_no_data_milli,sleep_cycle_count,disturbance_count,need_baseline_milli,need_from_debt_milli,need_from_strain_milli,need_from_nap_milli,respiratory_rate,sleep_performance_pct,sleep_consistency_pct,sleep_efficiency_pct,updated_at
af83ad8d-6d77-4b67-bb0b-2ec9eb637253,2026-06-21,2026-06-21T06:13:35.760Z,2026-06-21T13:30:08.540Z,-07:00,0,SCORED,26192780.0,1950100.0,10766320.0,3601100.0,9875260.0,0.0,6,17,27269694.0,7668000.0,202697.0,0.0,16.84082,75.0,50.0,92.55482,2026-06-21T14:01:47.968Z
a35e125b-f798-41cc-bb5f-ced8b8c63e98,2026-06-20,2026-06-20T11:36:15.640Z,2026-06-20T14:16:51.140Z,-07:00,0,SCORED,9635500.0,930050.0,3332250.0,3091990.0,2281210.0,0.0,2,7,27269831.0,4760016.0,160680.0,0.0,17.636719,26.0,49.0,90.34767,2026-06-20T16:29:28.961Z
a6d9d471-6cb5-41bb-ac3c-a0c6b4641801,2026-06-19,2026-06-19T07:16:41.370Z,2026-06-19T16:02:39.610Z,-07:00,0,SCORED,31558240.0,4309040.0,16106520.0,3542210.0,7600470.0,0.0,6,11,27269968.0,7003981.0,379721.0,0.0,17.753906,77.0,64.0,87.55542,2026-06-19T16:28:02.934Z
c0a44f34-50e2-4f8d-a126-4d859401fc3b,2026-06-18,2026-06-18T10:04:11.050Z,2026-06-18T14:57:05.670Z,-07:00,0,SCORED,17574620.0,970000.0,8650170.0,2492100.0,5462350.0,0.0,4,5,27270105.0,3195142.0,147335.0,0.0,16.660156,63.0,60.0,94.8585,2026-06-18T15:36:19.262Z
f39179b6-a248-4d46-a48b-b16098125e7f,2026-06-17,2026-06-17T07:24:10.720Z,2026-06-17T14:39:55.410Z,-07:00,0,SCORED,26144690.0,2582100.0,11427310.0,6192180.0,5943100.0,0.0,4,7,27270242.0,1854562.0,828070.0,0.0,16.213379,84.0,0.0,90.12381,2026-06-17T15:24:43.298Z
be4d8a0c-35f7-4278-a413-e106de4900e9,2026-06-16,2026-06-16T05:50:39.730Z,2026-06-16T14:26:26.990Z,-07:00,0,SCORED,30947260.0,3795190.0,14534640.0,3998180.0,8619250.0,0.0,8,5,29413051.0,0.0,1448144.0,0.0,17.080078,84.0,0.0,88.18968,2026-06-16T14:37:04.473Z
3f3720ee-2c92-4976-9ba7-77b2c1828139,2026-05-10,2026-05-09T19:26:28.970Z,2026-05-10T00:37:04.120Z,+05:30,0,SCORED,18635150.0,1899090.0,7154590.0,5135220.0,4446250.0,0.0,4,5,27275608.0,5113034.0,424534.0,0.0,16.875,58.0,59.0,90.27897,2026-05-10T00:47:03.583Z
73a0494e-2cb6-42bb-8720-1657f72acb6d,2026-05-09,2026-05-08T19:22:49.290Z,2026-05-09T03:32:51.350Z,+05:30,0,SCORED,29402060.0,1621120.0,15231950.0,5465330.0,7083660.0,0.0,7,3,27275746.0,7668000.0,790802.0,0.0,17.167969,68.0,33.0,94.486374,2026-05-09T03:39:53.723Z
efbbda9e-586a-4a52-aad5-6bfd3419099c,2026-05-08,2026-05-07T16:57:38.210Z,2026-05-07T21:48:09.290Z,+05:30,0,SCORED,17431080.0,1291070.0,6770350.0,5917470.0,3452190.0,0.0,3,5,27275884.0,7668000.0,1430773.0,0.0,17.08496,50.0,0.0,92.59329,2026-05-07T21:51:49.670Z
3e3a349f-7fbf-402f-b0e7-aeb099745bcc,2026-05-06,2026-05-05T18:00:41.970Z,2026-05-05T23:30:02.170Z,+05:30,0,SCORED,19760200.0,1470040.0,9555710.0,4442140.0,4292310.0,0.0,3,8,27276161.0,3319233.0,1664215.0,0.0,18.046875,65.0,62.0,92.5606,2026-05-05T23:38:04.253Z
9c12e7a9-267b-432a-bf9d-5ae8102ee75b,2026-05-05,2026-05-04T15:29:20.680Z,2026-05-04T23:51:50.590Z,+05:30,0,SCORED,30149910.0,690010.0,14648900.0,7933550.0,6877450.0,0.0,4,17,27276300.0,6346786.0,1000066.0,0.0,17.109375,75.0,38.0,97.7114,2026-05-04T23:57:30.144Z
